recording_id,clip_idx,path,start,end,label_id,split,label_name,dataset
0_1,0,/datasets/audio/deepship/test/0/0_1.wav,0.0,30.0,0,test,Cargo ship,deepship
0_1,1,/datasets/audio/deepship/test/0/0_1.wav,15.0,45.0,0,test,Cargo ship,deepship
0_1,2,/datasets/audio/deepship/test/0/0_1.wav,30.0,60.0,0,test,Cargo ship,deepship
0_1,3,/datasets/audio/deepship/test/0/0_1.wav,45.0,75.0,0,test,Cargo ship,deepship
0_1,4,/datasets/audio/deepship/test/0/0_1.wav,60.0,90.0,0,test,Cargo ship,deepship
0_1,5,/datasets/audio/deepship/test/0/0_1.wav,75.0,105.0,0,test,Cargo ship,deepship
0_1,6,/datasets/audio/deepship/test/0/0_1.wav,90.0,120.0,0,test,Cargo ship,deepship
0_1,7,/datasets/audio/deepship/test/0/0_1.wav,105.0,135.0,0,test,Cargo ship,deepship
0_1,8,/datasets/audio/deepship/test/0/0_1.wav,120.0,150.0,0,test,Cargo ship,deepship
0_1,9,/datasets/audio/deepship/test/0/0_1.wav,135.0,165.0,0,test,Cargo ship,deepship
0_1,10,/datasets/audio/deepship/test/0/0_1.wav,150.0,180.0,0,test,Cargo ship,deepship
0_1,11,/datasets/audio/deepship/test/0/0_1.wav,165.0,195.0,0,test,Cargo ship,deepship
0_1,12,/datasets/audio/deepship/test/0/0_1.wav,180.0,210.0,0,test,Cargo ship,deepship
0_1,13,/datasets/audio/deepship/test/0/0_1.wav,195.0,225.0,0,test,Cargo ship,deepship
0_1,14,/datasets/audio/deepship/test/0/0_1.wav,210.0,240.0,0,test,Cargo ship,deepship
0_1,15,/datasets/audio/deepship/test/0/0_1.wav,225.0,255.0,0,test,Cargo ship,deepship
0_1,16,/datasets/audio/deepship/test/0/0_1.wav,240.0,270.0,0,test,Cargo ship,deepship
0_1,17,/datasets/audio/deepship/test/0/0_1.wav,255.0,285.0,0,test,Cargo ship,deepship
0_1,18,/datasets/audio/deepship/test/0/0_1.wav,270.0,300.0,0,test,Cargo ship,deepship
0_1,19,/datasets/audio/deepship/test/0/0_1.wav,285.0,315.0,0,test,Cargo ship,deepship
0_1,20,/datasets/audio/deepship/test/0/0_1.wav,300.0,330.0,0,test,Cargo ship,deepship
0_1,21,/datasets/audio/deepship/test/0/0_1.wav,315.0,345.0,0,test,Cargo ship,deepship
0_1,22,/datasets/audio/deepship/test/0/0_1.wav,330.0,360.0,0,test,Cargo ship,deepship
0_1,23,/datasets/audio/deepship/test/0/0_1.wav,345.0,375.0,0,test,Cargo ship,deepship
0_1,24,/datasets/audio/deepship/test/0/0_1.wav,360.0,390.0,0,test,Cargo ship,deepship
0_1,25,/datasets/audio/deepship/test/0/0_1.wav,375.0,405.0,0,test,Cargo ship,deepship
0_1,26,/datasets/audio/deepship/test/0/0_1.wav,390.0,420.0,0,test,Cargo ship,deepship
0_1,27,/datasets/audio/deepship/test/0/0_1.wav,405.0,435.0,0,test,Cargo ship,deepship
0_1,28,/datasets/audio/deepship/test/0/0_1.wav,420.0,450.0,0,test,Cargo ship,deepship
0_1,29,/datasets/audio/deepship/test/0/0_1.wav,427.0,457.0,0,test,Cargo ship,deepship
0_100,0,/datasets/audio/deepship/test/0/0_100.wav,0.0,30.0,0,test,Cargo ship,deepship
0_100,1,/datasets/audio/deepship/test/0/0_100.wav,15.0,45.0,0,test,Cargo ship,deepship
0_100,2,/datasets/audio/deepship/test/0/0_100.wav,30.0,60.0,0,test,Cargo ship,deepship
0_100,3,/datasets/audio/deepship/test/0/0_100.wav,45.0,75.0,0,test,Cargo ship,deepship
0_100,4,/datasets/audio/deepship/test/0/0_100.wav,60.0,90.0,0,test,Cargo ship,deepship
0_100,5,/datasets/audio/deepship/test/0/0_100.wav,75.0,105.0,0,test,Cargo ship,deepship
