recording_id,clip_idx,path,start,end,label_id,split,label_name,dataset
Dredger_93__A__Draga_1,0,/datasets/audio/shipsear/test/Dredger_93__A__Draga_1.wav,0.0,30.0,0,test,Dredger,shipsear
Dredger_93__A__Draga_1,1,/datasets/audio/shipsear/test/Dredger_93__A__Draga_1.wav,0.270945,30.270945,0,test,Dredger,shipsear
Dredger_95__A__Draga_3,0,/datasets/audio/shipsear/test/Dredger_95__A__Draga_3.wav,0.0,30.0,0,test,Dredger,shipsear
Dredger_95__A__Draga_3,1,/datasets/audio/shipsear/test/Dredger_95__A__Draga_3.wav,15.0,45.0,0,test,Dredger,shipsear
Dredger_95__A__Draga_3,2,/datasets/audio/shipsear/test/Dredger_95__A__Draga_3.wav,30.0,60.0,0,test,Dredger,shipsear
Dredger_95__A__Draga_3,3,/datasets/audio/shipsear/test/Dredger_95__A__Draga_3.wav,30.746843,60.746843,0,test,Dredger,shipsear
Fishboat_75__23_07_13_H3_pesquero1,0,/datasets/audio/shipsear/test/Fishboat_75__23_07_13_H3_pesquero1.wav,0.0,30.0,1,test,Fishboat,shipsear
Fishboat_75__23_07_13_H3_pesquero1,1,/datasets/audio/shipsear/test/Fishboat_75__23_07_13_H3_pesquero1.wav,15.0,45.0,1,test,Fishboat,shipsear
Fishboat_75__23_07_13_H3_pesquero1,2,/datasets/audio/shipsear/test/Fishboat_75__23_07_13_H3_pesquero1.wav,23.911746,53.911746,1,test,Fishboat,shipsear
Motorboat_21__18_07_13_lanchaMotora,0,/datasets/audio/shipsear/test/Motorboat_21__18_07_13_lanchaMotora.wav,0.0,30.0,2,test,Motorboat,shipsear
Motorboat_21__18_07_13_lanchaMotora,1,/datasets/audio/shipsear/test/Motorboat_21__18_07_13_lanchaMotora.wav,13.706698,43.706698,2,test,Motorboat,shipsear
Motorboat_26__19_07_13_Lancha,0,/datasets/audio/shipsear/test/Motorboat_26__19_07_13_Lancha.wav,0.0,30.0,2,test,Motorboat,shipsear
Motorboat_51__23_07_13_H3_lancha2_interf,0,/datasets/audio/shipsear/test/Motorboat_51__23_07_13_H3_lancha2_interf.wav,0.0,30.0,2,test,Motorboat,shipsear
Motorboat_51__23_07_13_H3_lancha2_interf,1,/datasets/audio/shipsear/test/Motorboat_51__23_07_13_H3_lancha2_interf.wav,15.0,45.0,2,test,Motorboat,shipsear
Motorboat_51__23_07_13_H3_lancha2_interf,2,/datasets/audio/shipsear/test/Motorboat_51__23_07_13_H3_lancha2_interf.wav,30.0,60.0,2,test,Motorboat,shipsear
Motorboat_51__23_07_13_H3_lancha2_interf,3,/datasets/audio/shipsear/test/Motorboat_51__23_07_13_H3_lancha2_interf.wav,45.0,75.0,2,test,Motorboat,shipsear
Motorboat_51__23_07_13_H3_lancha2_interf,4,/datasets/audio/shipsear/test/Motorboat_51__23_07_13_H3_lancha2_interf.wav,60.0,90.0,2,test,Motorboat,shipsear
Motorboat_51__23_07_13_H3_lancha2_interf,5,/datasets/audio/shipsear/test/Motorboat_51__23_07_13_H3_lancha2_interf.wav,70.067186,100.067186,2,test,Motorboat,shipsear
Musselboat_46__23_07_13_H3_bateero1,0,/datasets/audio/shipsear/test/Musselboat_46__23_07_13_H3_bateero1.wav,0.0,30.0,3,test,Mussel boat,shipsear
Musselboat_66__23_07_13_H3_Pesquerito2_Velero,0,/datasets/audio/shipsear/test/Musselboat_66__23_07_13_H3_Pesquerito2_Velero.wav,0.0,30.0,3,test,Mussel boat,shipsear
Musselboat_66__23_07_13_H3_Pesquerito2_Velero,1,/datasets/audio/shipsear/test/Musselboat_66__23_07_13_H3_Pesquerito2_Velero.wav,15.0,45.0,3,test,Mussel boat,shipsear
Musselboat_66__23_07_13_H3_Pesquerito2_Velero,2,/datasets/audio/shipsear/test/Musselboat_66__23_07_13_H3_Pesquerito2_Velero.wav,30.0,60.0,3,test,Mussel boat,shipsear
Musselboat_66__23_07_13_H3_Pesquerito2_Velero,3,/datasets/audio/shipsear/test/Musselboat_66__23_07_13_H3_Pesquerito2_Velero.wav,45.0,75.0,3,test,Mussel boat,shipsear
Musselboat_66__23_07_13_H3_Pesquerito2_Velero,4,/datasets/audio/shipsear/test/Musselboat_66__23_07_13_H3_Pesquerito2_Velero.wav,60.0,90.0,3,test,Mussel boat,shipsear
Musselboat_66__23_07_13_H3_Pesquerito2_Velero,5,/datasets/audio/shipsear/test/Musselboat_66__23_07_13_H3_Pesquerito2_Velero.wav,75.0,105.0,3,test,Mussel boat,shipsear
Musselboat_66__23_07_13_H3_Pesquerito2_Velero,6,/datasets/audio/shipsear/test/Musselboat_66__23_07_13_H3_Pesquerito2_Velero.wav,90.0,120.0,3,test,Mussel boat,shipsear
Musselboat_66__23_07_13_H3_Pesquerito2_Velero,7,/datasets/audio/shipsear/test/Musselboat_66__23_07_13_H3_Pesquerito2_Velero.wav,105.0,135.0,3,test,Mussel boat,shipsear
Musselboat_66__23_07_13_H3_Pesquerito2_Velero,8,/datasets/audio/shipsear/test/Musselboat_66__23_07_13_H3_Pesquerito2_Velero.wav,120.0,150.0,3,test,Mussel boat,shipsear
Musselboat_66__23_07_13_H3_Pesquerito2_Velero,9,/datasets/audio/shipsear/test/Musselboat_66__23_07_13_H3_Pesquerito2_Velero.wav,125.0,155.0,3,test,Mussel boat,shipsear
Naturalambientnoise_81__25_09_13_H3_corriente,0,/datasets/audio/shipsear/test/Naturalambientnoise_81__25_09_13_H3_corriente.wav,0.0,30.0,4,test,Natural ambient noise,shipsear
Naturalambientnoise_81__25_09_13_H3_corriente,1,/datasets/audio/shipsear/test/Naturalambientnoise_81__25_09_13_H3_corriente.wav,15.0,45.0,4,test,Natural ambient noise,shipsear
Naturalambientnoise_81__25_09_13_H3_corriente,2,/datasets/audio/shipsear/test/Naturalambientnoise_81__25_09_13_H3_corriente.wav,30.0,60.0,4,test,Natural ambient noise,shipsear
Naturalambientnoise_81__25_09_13_H3_corriente,3,/datasets/audio/shipsear/test/Naturalambientnoise_81__25_09_13_H3_corriente.wav,45.0,75.0,4,test,Natural ambient noise,shipsear
Naturalambientnoise_81__25_09_13_H3_corriente,4,/datasets/audio/shipsear/test/Naturalambientnoise_81__25_09_13_H3_corriente.wav,60.0,90.0,4,test,Natural ambient noise,shipsear
Naturalambientnoise_81__25_09_13_H3_corriente,5,/datasets/audio/shipsear/test/Naturalambientnoise_81__25_09_13_H3_corriente.wav,75.0,105.0,4,test,Natural ambient noise,shipsear
Naturalambientnoise_81__25_09_13_H3_corriente,6,/datasets/audio/shipsear/test/Naturalambientnoise_81__25_09_13_H3_corriente.wav,90.0,120.0,4,test,Natural ambient noise,shipsear
Naturalambientnoise_81__25_09_13_H3_corriente,7,/datasets/audio/shipsear/test/Naturalambientnoise_81__25_09_13_H3_corriente.wav,90.004551,120.004551,4,test,Natural ambient noise,shipsear
Naturalambientnoise_85__E__1L,0,/datasets/audio/shipsear/test/Naturalambientnoise_85__E__1L.wav,0.0,30.0,4,test,Natural ambient noise,shipsear
Naturalambientnoise_85__E__1L,1,/datasets/audio/shipsear/test/Naturalambientnoise_85__E__1L.wav,15.0,45.0,4,test,Natural ambient noise,shipsear
Naturalambientnoise_85__E__1L,2,/datasets/audio/shipsear/test/Naturalambientnoise_85__E__1L.wav,30.0,60.0,4,test,Natural ambient noise,shipsear
Naturalambientnoise_85__E__1L,3,/datasets/audio/shipsear/test/Naturalambientnoise_85__E__1L.wav,45.0,75.0,4,test,Natural ambient noise,shipsear
Naturalambientnoise_85__E__1L,4,/datasets/audio/shipsear/test/Naturalambientnoise_85__E__1L.wav,55.091213,85.091213,4,test,Natural ambient noise,shipsear
Naturalambientnoise_88__E__4L,0,/datasets/audio/shipsear/test/Naturalambientnoise_88__E__4L.wav,0.0,30.0,4,test,Natural ambient noise,shipsear
Naturalambientnoise_88__E__4L,1,/datasets/audio/shipsear/test/Naturalambientnoise_88__E__4L.wav,15.0,45.0,4,test,Natural ambient noise,shipsear
Naturalambientnoise_88__E__4L,2,/datasets/audio/shipsear/test/Naturalambientnoise_88__E__4L.wav,30.0,60.0,4,test,Natural ambient noise,shipsear
Naturalambientnoise_88__E__4L,3,/datasets/audio/shipsear/test/Naturalambientnoise_88__E__4L.wav,45.0,75.0,4,test,Natural ambient noise,shipsear
Naturalambientnoise_88__E__4L,4,/datasets/audio/shipsear/test/Naturalambientnoise_88__E__4L.wav,60.0,90.0,4,test,Natural ambient noise,shipsear
