recording_id,clip_idx,path,start,end,label_id,split,label_name,dataset,stft_path,mel_path,demon_path
Dredger_93__A__Draga_1,0,/datasets/audio/shipsear/test/Dredger_93__A__Draga_1.wav,0.0,30.0,0,test,Dredger,shipsear,outputs/spectrograms/stft/shipsear_clip30_ov0.5_d191918efe/test/0/Dredger_93__A__Draga_1_c0.png,outputs/spectrograms/mel/shipsear_clip30_ov0.5_d191918efe/test/0/Dredger_93__A__Draga_1_c0.png,outputs/spectrograms/demon/shipsear_clip30_ov0.5_d191918efe/test/0/Dredger_93__A__Draga_1_c0.png
Dredger_93__A__Draga_1,1,/datasets/audio/shipsear/test/Dredger_93__A__Draga_1.wav,0.270945,30.270945,0,test,Dredger,shipsear,outputs/spectrograms/stft/shipsear_clip30_ov0.5_d191918efe/test/0/Dredger_93__A__Draga_1_c1.png,outputs/spectrograms/mel/shipsear_clip30_ov0.5_d191918efe/test/0/Dredger_93__A__Draga_1_c1.png,outputs/spectrograms/demon/shipsear_clip30_ov0.5_d191918efe/test/0/Dredger_93__A__Draga_1_c1.png
Dredger_95__A__Draga_3,0,/datasets/audio/shipsear/test/Dredger_95__A__Draga_3.wav,0.0,30.0,0,test,Dredger,shipsear,outputs/spectrograms/stft/shipsear_clip30_ov0.5_d191918efe/test/0/Dredger_95__A__Draga_3_c0.png,outputs/spectrograms/mel/shipsear_clip30_ov0.5_d191918efe/test/0/Dredger_95__A__Draga_3_c0.png,outputs/spectrograms/demon/shipsear_clip30_ov0.5_d191918efe/test/0/Dredger_95__A__Draga_3_c0.png
Dredger_95__A__Draga_3,1,/datasets/audio/shipsear/test/Dredger_95__A__Draga_3.wav,15.0,45.0,0,test,Dredger,shipsear,outputs/spectrograms/stft/shipsear_clip30_ov0.5_d191918efe/test/0/Dredger_95__A__Draga_3_c1.png,outputs/spectrograms/mel/shipsear_clip30_ov0.5_d191918efe/test/0/Dredger_95__A__Draga_3_c1.png,outputs/spectrograms/demon/shipsear_clip30_ov0.5_d191918efe/test/0/Dredger_95__A__Draga_3_c1.png
Dredger_95__A__Draga_3,2,/datasets/audio/shipsear/test/Dredger_95__A__Draga_3.wav,30.0,60.0,0,test,Dredger,shipsear,outputs/spectrograms/stft/shipsear_clip30_ov0.5_d191918efe/test/0/Dredger_95__A__Draga_3_c2.png,outputs/spectrograms/mel/shipsear_clip30_ov0.5_d191918efe/test/0/Dredger_95__A__Draga_3_c2.png,outputs/spectrograms/demon/shipsear_clip30_ov0.5_d191918efe/test/0/Dredger_95__A__Draga_3_c2.png
Dredger_95__A__Draga_3,3,/datasets/audio/shipsear/test/Dredger_95__A__Draga_3.wav,30.746843,60.746843,0,test,Dredger,shipsear,outputs/spectrograms/stft/shipsear_clip30_ov0.5_d191918efe/test/0/Dredger_95__A__Draga_3_c3.png,outputs/spectrograms/mel/shipsear_clip30_ov0.5_d191918efe/test/0/Dredger_95__A__Draga_3_c3.png,outputs/spectrograms/demon/shipsear_clip30_ov0.5_d191918efe/test/0/Dredger_95__A__Draga_3_c3.png
Fishboat_75__23_07_13_H3_pesquero1,0,/datasets/audio/shipsear/test/Fishboat_75__23_07_13_H3_pesquero1.wav,0.0,30.0,1,test,Fishboat,shipsear,outputs/spectrograms/stft/shipsear_clip30_ov0.5_d191918efe/test/1/Fishboat_75__23_07_13_H3_pesquero1_c0.png,outputs/spectrograms/mel/shipsear_clip30_ov0.5_d191918efe/test/1/Fishboat_75__23_07_13_H3_pesquero1_c0.png,outputs/spectrograms/demon/shipsear_clip30_ov0.5_d191918efe/test/1/Fishboat_75__23_07_13_H3_pesquero1_c0.png
Fishboat_75__23_07_13_H3_pesquero1,1,/datasets/audio/shipsear/test/Fishboat_75__23_07_13_H3_pesquero1.wav,15.0,45.0,1,test,Fishboat,shipsear,outputs/spectrograms/stft/shipsear_clip30_ov0.5_d191918efe/test/1/Fishboat_75__23_07_13_H3_pesquero1_c1.png,outputs/spectrograms/mel/shipsear_clip30_ov0.5_d191918efe/test/1/Fishboat_75__23_07_13_H3_pesquero1_c1.png,outputs/spectrograms/demon/shipsear_clip30_ov0.5_d191918efe/test/1/Fishboat_75__23_07_13_H3_pesquero1_c1.png
Fishboat_75__23_07_13_H3_pesquero1,2,/datasets/audio/shipsear/test/Fishboat_75__23_07_13_H3_pesquero1.wav,23.911746,53.911746,1,test,Fishboat,shipsear,outputs/spectrograms/stft/shipsear_clip30_ov0.5_d191918efe/test/1/Fishboat_75__23_07_13_H3_pesquero1_c2.png,outputs/spectrograms/mel/shipsear_clip30_ov0.5_d191918efe/test/1/Fishboat_75__23_07_13_H3_pesquero1_c2.png,outputs/spectrograms/demon/shipsear_clip30_ov0.5_d191918efe/test/1/Fishboat_75__23_07_13_H3_pesquero1_c2.png
Motorboat_21__18_07_13_lanchaMotora,0,/datasets/audio/shipsear/test/Motorboat_21__18_07_13_lanchaMotora.wav,0.0,30.0,2,test,Motorboat,shipsear,outputs/spectrograms/stft/shipsear_clip30_ov0.5_d191918efe/test/2/Motorboat_21__18_07_13_lanchaMotora_c0.png,outputs/spectrograms/mel/shipsear_clip30_ov0.5_d191918efe/test/2/Motorboat_21__18_07_13_lanchaMotora_c0.png,outputs/spectrograms/demon/shipsear_clip30_ov0.5_d191918efe/test/2/Motorboat_21__18_07_13_lanchaMotora_c0.png
